PLAYER_ID,name,team,height,weight,age,ppg,ts_pct,on_ball_def_fg_pct,blk,reb,ast,tov,off_rating,stl,def_rating,combine_max_vertical,combine_lane_agility,charges_drawn,loose_balls_recovered,box_outs
1630639,A.J. Lawson,TOR,78,179,24.0,9.1,0.542,0.457,0.2,3.3,1.2,0.6,109.7,0.5,111.1,41.0,11.0,0.0,0.29,0.21
1631260,AJ Green,MIL,76,190,25.0,7.4,0.621,0.459,0.1,2.4,1.5,0.5,114.0,0.5,107.6,,,0.07,0.42,0.54
1642358,AJ Johnson,WAS,77,160,20.0,7.6,0.48,0.45,0.1,2.0,2.6,1.2,104.1,0.4,115.6,38.0,10.76,0.0,0.41,0.05
203932,Aaron Gordon,DEN,80,235,29.0,14.7,0.65,0.478,0.3,4.8,3.2,1.4,122.5,0.5,113.0,39.0,10.81,0.0,0.41,0.37
1628988,Aaron Holiday,HOU,72,185,28.0,5.5,0.594,0.419,0.2,1.3,1.3,0.6,110.3,0.3,103.6,33.0,10.96,0.02,0.32,0.26
1630174,Aaron Nesmith,IND,78,215,25.0,12.0,0.653,0.434,0.4,4.0,1.2,0.8,120.1,0.8,111.5,,,0.16,0.47,0.38
1630598,Aaron Wiggins,OKC,77,190,26.0,12.0,0.596,0.47,0.2,3.9,1.8,0.9,120.7,0.8,106.6,36.0,11.2,0.01,0.51,0.38
1641745,Adam Flagler,OKC,75,180,25.0,1.8,0.335,0.411,0.1,0.7,0.3,0.1,99.1,0.2,96.7,36.0,10.96,0.0,0.38,0.25
1641766,Adama Sanogo,CHI,81,245,23.0,2.0,0.571,0.417,0.0,1.5,0.3,0.3,104.2,0.0,122.2,31.0,11.5,0.0,0.0,0.67
1641737,Adem Bona,PHI,82,235,22.0,5.8,0.714,0.459,1.2,4.2,0.5,1.1,107.4,0.4,114.0,40.0,11.01,0.0,0.26,0.96
1642349,Ajay Mitchell,OKC,77,190,23.0,6.5,0.587,0.431,0.1,1.9,1.8,0.8,110.0,0.7,100.2,33.5,11.12,0.08,0.31,0.19
201143,Al Horford,BOS,81,240,39.0,9.0,0.563,0.452,0.9,6.2,2.1,0.8,119.6,0.6,108.1,35.5,12.15,0.0,0.33,1.35
202692,Alec Burks,MIA,77,214,33.0,7.3,0.608,0.439,0.1,2.5,1.1,0.6,113.5,0.6,107.6,36.0,10.96,0.0,0.21,0.19
1627936,Alex Caruso,OKC,77,186,31.0,7.1,0.568,0.395,0.6,2.9,2.5,0.7,117.5,1.6,102.5,,,0.15,0.49,0.34
1642505,Alex Ducas,OKC,79,220,24.0,1.7,0.583,0.525,0.0,1.2,0.2,0.2,99.6,0.2,106.3,,,0.0,0.2,0.67
203458,Alex Len,LAL,84,250,32.0,1.6,0.525,0.507,0.5,2.1,0.8,0.4,101.4,0.2,118.9,,,0.0,0.33,0.92
1642024,Alex Reese,PHI,81,245,26.0,5.1,0.641,0.522,0.7,3.1,0.3,0.4,117.3,0.7,111.8,,,0.13,0.2,0.4
1642259,Alex Sarr,WAS,84,205,20.0,13.0,0.482,0.507,1.5,6.5,2.4,1.7,102.7,0.7,116.4,37.0,11.43,0.0,0.57,1.18
1631214,Alondes Williams,LAC,76,210,26.0,5.0,1.25,0.0,0.0,0.0,1.0,0.0,171.4,0.0,85.7,35.5,10.96,,,
1630578,Alperen Sengun,HOU,83,243,22.0,19.1,0.545,0.471,0.8,10.3,4.9,2.6,114.9,1.1,107.4,,,0.09,0.79,2.63
1641708,Amen Thompson,HOU,79,200,22.0,14.1,0.602,0.407,1.3,8.2,3.8,2.0,114.2,1.4,107.9,,,0.04,0.77,0.33
1629599,Amir Coffey,LAC,79,210,28.0,9.7,0.614,0.482,0.1,2.2,1.1,0.6,109.1,0.6,110.6,,,0.04,0.31,0.31
203083,Andre Drummond,PHI,83,279,31.0,7.3,0.535,0.526,0.5,7.8,0.9,1.4,103.4,1.0,118.9,33.5,10.83,0.0,0.43,1.4
1641748,Andre Jackson Jr.,MIL,78,209,23.0,3.4,0.554,0.477,0.2,2.7,1.2,0.9,110.6,0.5,112.1,39.5,10.83,0.0,0.38,0.24
1629614,Andrew Nembhard,IND,76,191,25.0,10.0,0.545,0.47,0.2,3.3,5.0,1.7,115.5,1.2,110.2,35.0,10.46,0.09,0.51,0.26
203952,Andrew Wiggins,MIA,79,197,30.0,18.0,0.566,0.449,0.8,4.5,2.6,1.7,109.4,1.0,111.7,,,0.0,0.6,0.67
1629014,Anfernee Simons,POR,75,200,26.0,19.3,0.557,0.505,0.1,2.7,4.8,2.0,108.8,0.9,113.4,41.5,11.27,0.04,0.53,0.23
1641710,Anthony Black,ORL,79,200,21.0,9.4,0.521,0.452,0.6,2.9,3.1,1.8,106.2,1.1,107.1,39.0,11.04,0.03,0.49,0.31
203076,Anthony Davis,DAL,82,253,32.0,24.7,0.588,0.439,2.2,11.6,3.5,2.2,113.3,1.2,112.9,,,0.04,0.86,1.9
1630162,Anthony Edwards,MIN,76,225,23.0,27.6,0.595,0.46,0.6,5.7,4.5,3.2,116.2,1.2,111.4,,,0.0,0.62,0.14
1630264,Anthony Gill,WAS,80,230,32.0,2.5,0.586,0.514,0.0,1.3,0.3,0.2,101.9,0.2,109.7,,,0.0,0.28,0.59
1641817,Anton Watson,NYK,80,225,24.0,0.9,0.444,0.571,0.0,0.3,0.2,0.2,103.9,0.1,119.2,,,0.0,0.0,0.0
1641810,Antonio Reeves,NOP,77,205,24.0,6.9,0.579,0.519,0.1,1.4,0.9,0.7,107.3,0.5,117.5,36.0,11.44,0.0,0.39,0.18
1630574,Ariel Hukporti,NYK,83,246,23.0,1.9,0.654,0.427,0.6,2.0,0.4,0.8,97.6,0.0,110.1,31.0,12.2,0.0,0.3,0.74
1642422,Armel Traore,LAL,81,245,22.0,1.6,0.317,0.522,0.2,1.7,0.1,0.3,81.9,0.4,119.3,,,0.0,0.0,0.29
1641709,Ausar Thompson,DET,78,205,22.0,10.1,0.568,0.416,0.7,5.1,2.3,1.4,113.1,1.7,109.2,,,0.02,0.83,0.15
1630559,Austin Reaves,LAL,77,197,27.0,20.2,0.616,0.492,0.3,4.5,5.8,2.4,117.1,1.1,113.3,35.0,10.94,0.3,0.71,0.45
1630245,Ayo Dosunmu,CHI,77,200,25.0,12.3,0.585,0.497,0.4,3.5,4.5,1.5,110.1,0.9,117.8,33.5,11.51,0.0,0.67,0.2
1628389,Bam Adebayo,MIA,81,255,27.0,18.1,0.561,0.474,0.7,9.6,4.3,2.1,110.9,1.3,110.8,38.5,11.94,0.0,0.69,2.76
1631248,Baylor Scheierman,BOS,78,205,24.0,3.6,0.49,0.413,0.1,2.1,1.1,0.4,109.9,0.5,105.8,32.0,10.89,0.04,0.15,0.46
1641767,Ben Sheppard,IND,78,190,23.0,5.3,0.555,0.456,0.2,2.8,1.3,0.3,111.2,0.6,113.4,35.5,10.88,0.0,0.47,0.19
1627732,Ben Simmons,LAC,82,240,28.0,5.0,0.539,0.463,0.5,4.7,5.6,2.0,111.7,0.7,113.5,,,0.08,0.4,0.38
1631097,Bennedict Mathurin,IND,77,210,23.0,16.1,0.579,0.5,0.3,5.3,1.9,1.9,113.8,0.7,112.2,,,0.0,0.67,0.51
1641731,Bilal Coulibaly,WAS,80,195,20.0,12.3,0.515,0.444,0.7,5.0,3.4,2.1,104.5,1.3,118.3,,,0.02,0.88,0.22
202687,Bismack Biyombo,SAS,80,255,32.0,5.1,0.576,0.483,0.8,5.6,1.1,1.0,108.7,0.6,117.9,,,0.0,0.48,1.44
1631104,Blake Wesley,SAS,75,185,22.0,3.7,0.51,0.485,0.1,1.1,2.0,0.9,110.2,0.6,109.7,36.0,11.55,0.0,0.28,0.04
1626171,Bobby Portis Jr.,MIL,82,250,30.0,13.9,0.542,0.449,0.5,8.4,2.1,1.2,114.1,0.7,110.8,31.5,11.78,0.0,0.39,1.47
1641752,Bobi Klintman,DET,81,225,22.0,1.9,0.689,0.6,0.1,0.9,0.9,0.1,121.4,0.3,117.2,32.5,11.49,0.0,0.2,0.2
203992,Bogdan Bogdanović,LAC,77,225,32.0,10.8,0.559,0.474,0.2,2.9,2.7,1.4,112.7,0.8,110.0,,,0.0,0.37,0.28
1629626,Bol Bol,PHX,87,220,25.0,6.8,0.627,0.481,0.7,2.9,0.6,0.6,112.1,0.3,115.9,,,0.0,0.23,0.42
1630538,Bones Hyland,MIN,74,169,24.0,6.2,0.576,0.494,0.2,1.0,1.3,1.0,102.0,0.8,108.1,34.0,10.53,0.0,0.24,0.0
203078,Bradley Beal,PHX,76,207,32.0,17.0,0.598,0.47,0.5,3.3,3.7,1.9,110.6,1.1,118.6,39.0,10.95,0.06,0.68,0.25
1642382,Branden Carlson,OKC,84,220,26.0,3.8,0.581,0.378,0.7,1.7,0.4,0.2,115.1,0.2,105.8,,,0.0,0.29,0.92
1641764,Brandin Podziemski,GSW,76,205,22.0,11.7,0.557,0.495,0.2,5.1,3.4,1.2,111.6,1.1,105.1,39.0,11.16,0.32,0.71,0.51
1630527,Brandon Boston Jr.,NOP,78,188,23.0,10.7,0.535,0.519,0.2,3.2,2.2,1.2,108.6,1.3,114.8,,,0.02,0.34,0.1
1629634,Brandon Clarke,MEM,80,215,28.0,8.3,0.638,0.428,0.6,5.1,1.0,0.6,116.5,0.8,108.2,40.5,10.61,0.05,0.44,1.19
1627742,Brandon Ingram,TOR,80,190,27.0,22.2,0.56,0.525,0.6,5.6,5.2,3.8,107.0,0.9,117.7,,,0.0,0.5,0.28
1641706,Brandon Miller,CHA,79,200,22.0,21.0,0.54,0.462,0.7,4.9,3.6,2.8,106.9,1.1,113.8,,,0.07,0.48,0.44
1630314,Brandon Williams,DAL,73,190,25.0,8.3,0.634,0.485,0.2,1.8,2.3,1.2,109.5,0.7,108.8,,,0.0,0.77,0.19
1630296,Braxton Key,GSW,80,225,28.0,1.0,0.226,1.0,0.0,0.7,0.0,0.3,90.0,0.7,120.7,,,0.0,0.0,0.0
1641729,Brice Sensabaugh,UTA,77,235,21.0,10.9,0.612,0.494,0.1,3.0,1.5,1.5,109.9,0.6,119.5,,,0.01,0.41,0.28
1642355,Bronny James,LAL,75,210,20.0,2.3,0.424,0.458,0.1,0.7,0.8,0.5,95.5,0.3,114.1,40.5,10.96,0.0,0.2,0.2
201572,Brook Lopez,MIL,85,282,37.0,13.0,0.624,0.468,1.9,5.0,1.8,1.1,114.8,0.6,112.7,30.5,12.77,0.0,0.23,2.06
1628971,Bruce Brown,NOP,76,202,28.0,8.3,0.504,0.503,0.2,4.0,2.0,1.0,104.8,0.8,116.8,38.0,11.11,0.0,0.39,0.41
1628981,Bruno Fernando,TOR,81,240,26.0,3.4,0.552,0.471,0.5,3.0,1.1,0.8,103.9,0.2,110.1,33.5,11.29,0.0,0.23,0.62
1631121,Bryce McGowens,POR,78,190,22.0,1.0,0.391,0.571,0.0,0.2,0.2,0.3,89.9,0.1,97.1,34.0,11.12,0.0,0.0,0.0
1642267,Bub Carrington,WAS,76,190,19.0,9.8,0.514,0.484,0.3,4.2,4.4,1.7,102.8,0.7,118.0,36.5,11.28,0.02,0.48,0.28
1627741,Buddy Hield,GSW,76,220,32.0,11.1,0.56,0.483,0.3,3.2,1.6,1.1,112.3,0.8,110.1,,,0.0,0.4,0.21
203468,CJ McCollum,NOP,75,190,33.0,21.1,0.55,0.457,0.4,3.8,4.1,1.9,112.3,0.8,119.4,38.5,11.02,0.04,0.64,0.34
1630595,Cade Cunningham,DET,78,220,23.0,26.1,0.565,0.441,0.8,6.1,9.1,4.4,115.0,1.0,112.2,,,0.03,0.73,0.64
1631216,Caleb Houstan,ORL,80,205,22.0,4.1,0.605,0.485,0.1,1.3,0.6,0.2,104.2,0.4,108.2,,,0.0,0.16,0.33
1628997,Caleb Martin,DAL,77,205,29.0,7.9,0.513,0.484,0.5,3.9,2.1,1.2,106.5,1.0,112.8,36.5,10.43,0.09,0.64,0.39
1642353,Cam Christie,LAC,78,190,19.0,1.4,0.349,0.353,0.1,0.9,0.5,0.2,97.6,0.4,105.6,35.5,11.07,0.0,0.2,0.0
1629629,Cam Reddish,LAL,79,217,25.0,3.2,0.498,0.452,0.3,2.0,0.7,0.4,107.6,1.0,115.9,,,0.0,0.61,0.19
1642285,Cam Spencer,MEM,76,205,25.0,4.2,0.587,0.52,0.0,1.2,1.4,0.2,116.4,0.4,109.6,30.5,11.07,0.06,0.25,0.44
1630560,Cam Thomas,BKN,75,210,23.0,24.0,0.575,0.5,0.1,3.3,3.8,2.5,114.9,0.6,120.6,,,0.0,0.5,0.17
1641715,Cam Whitmore,HOU,79,230,20.0,9.4,0.549,0.439,0.3,3.0,1.0,0.9,113.4,0.6,112.3,40.5,10.82,0.0,0.48,0.16
1629661,Cameron Johnson,BKN,80,210,29.0,18.8,0.632,0.465,0.4,4.3,3.4,1.7,110.9,0.9,116.7,36.5,10.52,0.05,0.6,0.49
1626166,Cameron Payne,NYK,75,183,30.0,6.9,0.532,0.462,0.2,1.4,2.8,0.7,116.6,0.5,107.5,35.5,10.9,0.18,0.21,0.25
1627747,Caris LeVert,ATL,78,205,30.0,12.1,0.582,0.437,0.5,3.2,3.4,1.2,120.5,0.9,113.4,,,0.0,0.59,0.3
1641717,Cason Wallace,OKC,75,195,21.0,8.4,0.562,0.468,0.5,3.4,2.5,0.9,117.2,1.8,107.1,36.0,10.82,0.0,0.91,0.37
1629646,Charles Bassey,SAS,82,230,24.0,4.4,0.597,0.449,0.8,4.2,0.5,0.6,101.6,0.4,117.5,36.0,12.19,0.0,0.22,0.81
1631096,Chet Holmgren,OKC,85,208,23.0,15.0,0.599,0.418,2.2,8.0,2.0,1.8,121.7,0.7,105.6,,,0.0,0.56,1.13
1628449,Chris Boucher,TOR,81,200,32.0,10.0,0.615,0.478,0.5,4.5,0.7,0.6,113.3,0.5,113.5,,,0.06,0.3,0.52
1630537,Chris Duarte,CHI,77,190,28.0,2.1,0.61,0.4,0.0,1.2,0.5,0.1,105.2,0.0,102.4,,,0.0,0.22,0.33
1641753,Chris Livingston,MIL,78,220,21.0,1.4,0.441,0.479,0.0,1.7,0.2,0.3,89.6,0.2,102.2,37.0,11.65,0.0,0.21,0.21
101108,Chris Paul,SAS,72,175,40.0,8.8,0.58,0.486,0.3,3.6,7.4,1.6,114.2,1.3,115.0,38.0,11.09,0.0,0.78,0.2
1631128,Christian Braun,DEN,78,220,24.0,15.4,0.665,0.481,0.5,5.2,2.6,1.0,122.7,1.1,114.5,40.0,11.0,0.05,0.65,0.34
1631132,Christian Koloko,LAL,84,225,25.0,2.4,0.624,0.438,0.4,2.5,0.4,0.3,104.7,0.2,106.0,33.5,11.3,0.0,0.26,0.66
1629643,Chuma Okeke,CLE,79,229,26.0,5.9,0.641,0.57,0.4,5.2,1.7,0.3,115.8,0.6,122.1,,,0.0,0.63,0.5
203991,Clint Capela,ATL,82,256,31.0,8.9,0.564,0.474,1.0,8.5,1.1,0.9,108.7,0.6,111.5,,,0.16,0.53,1.49
1629632,Coby White,CHI,77,195,25.0,20.4,0.601,0.495,0.2,3.7,4.5,2.4,111.5,0.9,113.9,,,0.04,0.6,0.16
1628998,Cody Martin,PHX,78,205,29.0,6.8,0.509,0.478,0.6,4.2,2.0,1.0,108.1,1.1,111.3,35.5,10.44,0.1,0.92,0.73
1642262,Cody Williams,UTA,79,190,20.0,4.6,0.419,0.483,0.3,2.3,1.2,0.9,103.0,0.5,118.5,35.5,11.17,0.0,0.24,0.18
1641732,Colby Jones,WAS,78,207,23.0,4.0,0.544,0.469,0.3,2.2,1.1,0.6,104.4,0.7,114.8,35.0,11.14,0.03,0.28,0.28
1630175,Cole Anthony,MEM,74,185,25.0,9.4,0.531,0.475,0.5,3.0,2.9,1.5,107.7,0.7,109.0,,,0.05,0.57,0.21
1631306,Cole Swider,IND,80,220,26.0,5.9,0.465,0.391,0.2,2.7,0.3,0.4,114.2,0.4,100.5,,,0.1,0.1,0.2
1630658,Colin Castleton,TOR,82,250,25.0,4.7,0.536,0.444,0.4,4.7,1.1,0.9,106.1,0.3,108.2,,,0.0,0.22,0.74
1631221,Collin Gillespie,PHX,73,195,26.0,5.9,0.578,0.515,0.2,2.4,2.4,0.5,115.6,0.6,118.4,33.0,10.95,0.03,0.55,0.31
1629012,Collin Sexton,UTA,75,190,26.0,18.4,0.593,0.473,0.1,2.7,4.2,2.5,110.4,0.7,117.9,,,0.0,0.48,0.24
1630557,Corey Kispert,WAS,78,224,26.0,11.6,0.584,0.462,0.2,3.0,1.7,1.0,108.7,0.4,117.1,37.5,10.91,0.0,0.42,0.37
202709,Cory Joseph,ORL,74,200,33.0,3.5,0.547,0.492,0.1,1.5,1.4,0.4,110.5,0.5,106.9,35.0,10.75,0.02,0.3,0.18
1641854,Craig Porter Jr.,CLE,73,180,25.0,3.7,0.61,0.471,0.3,1.3,1.4,0.7,108.3,0.3,113.5,,,0.0,0.27,0.07
1642385,Cui Cui,BKN,77,190,22.0,0.6,0.19,0.5,0.0,0.4,0.0,0.0,80.8,0.0,76.0,,,0.0,0.0,0.0
1626156,D'Angelo Russell,BKN,75,193,29.0,12.6,0.522,0.485,0.4,2.8,5.1,1.9,110.1,1.0,111.6,,,0.02,0.3,0.25
1630618,D.J. Carton,TOR,75,200,24.0,0.8,0.202,0.625,0.0,1.0,0.8,1.0,109.0,0.5,96.1,,,0.0,0.0,0.0
1629610,DaQuan Jeffries,CHA,77,222,27.0,6.7,0.518,0.436,0.5,2.9,1.1,0.7,106.6,0.6,118.2,,,0.0,0.38,0.49
1631342,Daeqwon Plowden,ATL,78,216,26.0,7.2,0.831,0.5,0.0,1.8,0.3,0.7,104.0,0.0,84.2,,,0.0,0.25,0.5
1630227,Daishen Nix,MIN,76,238,23.0,0.3,0.266,0.333,0.0,1.3,1.0,1.3,103.2,0.0,79.3,36.5,11.72,0.0,0.0,0.0
1630625,Dalano Banton,POR,80,203,25.0,8.3,0.497,0.444,0.5,2.0,2.4,1.3,110.2,0.6,111.8,,,0.02,0.22,0.21
1631207,Dalen Terry,CHI,79,195,22.0,4.5,0.546,0.418,0.2,1.7,1.3,0.7,104.0,0.6,111.6,,,0.01,0.34,0.22
1642261,Dalton Knecht,LAL,78,215,24.0,9.1,0.594,0.491,0.1,2.8,0.8,0.5,112.2,0.3,114.9,39.0,10.56,0.0,0.25,0.27
203081,Damian Lillard,MIL,74,195,34.0,24.9,0.621,0.461,0.2,4.7,7.1,2.8,115.3,1.2,114.6,39.5,11.15,0.03,0.47,0.33
1641878,Damion Baugh,CHA,76,194,24.0,7.3,0.399,0.544,0.1,3.3,3.7,2.1,99.5,1.0,121.8,,,0.0,0.4,0.47
1627814,Damion Lee,PHX,78,210,32.0,3.3,0.499,0.446,0.0,0.8,0.4,0.4,104.7,0.2,98.7,,,0.0,0.14,0.14
1629655,Daniel Gafford,DAL,82,265,26.0,12.3,0.716,0.456,1.8,6.8,1.4,1.2,114.9,0.4,113.4,36.5,11.61,0.02,0.56,1.58
1628464,Daniel Theis,NOP,80,245,33.0,4.3,0.558,0.491,0.5,4.3,1.6,0.7,109.3,0.5,115.2,,,0.08,0.49,1.43
1642450,Daniss Jenkins,DET,75,165,23.0,1.0,0.322,0.5,0.0,0.3,0.4,0.1,102.3,0.0,108.2,,,0.0,0.0,0.0
203957,Dante Exum,DAL,77,214,29.0,8.7,0.589,0.528,0.2,1.7,2.8,1.1,109.3,0.6,115.2,34.5,10.75,0.1,0.25,0.1
203967,Dario Saric,DEN,82,225,31.0,3.5,0.449,0.514,0.1,3.1,1.4,0.9,97.3,0.4,108.7,,,0.0,0.53,0.93
1641727,Dariq Whitehead,BKN,78,220,20.0,5.7,0.58,0.453,0.1,1.5,0.6,0.8,98.7,0.3,109.7,,,0.0,0.13,0.13
1629636,Darius Garland,CLE,73,192,25.0,20.6,0.6,0.466,0.1,2.9,6.7,2.5,123.2,1.2,113.4,,,0.04,0.53,0.09
1630561,David Duke Jr.,SAS,76,204,25.0,2.7,0.538,0.385,0.0,0.8,0.7,0.3,128.4,0.2,91.8,39.0,11.21,0.0,0.75,0.5
1631223,David Roddy,HOU,76,255,24.0,4.6,0.561,0.453,0.3,2.5,1.1,0.7,106.4,0.4,114.6,35.5,10.75,0.0,0.23,0.33
1630558,Davion Mitchell,MIA,72,202,26.0,7.9,0.573,0.458,0.2,2.3,4.9,1.7,111.0,1.0,110.7,,,0.14,0.56,0.32
1630549,Day'Ron Sharpe,BKN,81,265,23.0,7.9,0.568,0.462,0.8,6.6,1.8,1.3,109.2,0.8,107.1,,,0.02,0.42,1.78
1628368,De'Aaron Fox,SAS,75,185,27.0,23.5,0.56,0.476,0.4,4.8,6.3,2.8,113.7,1.5,114.9,,,0.02,0.66,0.24
1629631,De'Andre Hunter,CLE,80,221,27.0,17.0,0.623,0.451,0.2,4.0,1.4,1.3,115.9,0.8,113.9,,,0.0,0.45,0.73
1629001,De'Anthony Melton,BKN,75,200,27.0,10.3,0.539,0.429,0.3,3.3,2.8,1.7,108.3,1.2,97.4,36.5,11.48,0.0,0.5,0.33
201599,DeAndre Jordan,DEN,83,265,36.0,3.7,0.621,0.421,0.5,5.1,0.9,0.7,108.8,0.3,112.1,30.5,12.3,0.0,0.2,1.23
201942,DeMar DeRozan,SAC,78,220,35.0,22.2,0.569,0.5,0.4,3.9,4.4,1.4,116.8,0.8,115.3,38.5,11.88,0.05,0.44,0.51
1629731,Dean Wade,CLE,81,228,28.0,5.4,0.563,0.465,0.3,4.2,1.3,0.4,120.0,0.7,109.4,,,0.0,0.38,0.88
1629028,Deandre Ayton,POR,84,252,26.0,14.4,0.583,0.479,1.0,10.2,1.6,1.7,110.0,0.8,116.8,,,0.0,0.4,1.5
1627749,Dejounte Murray,NOP,76,180,28.0,17.5,0.494,0.514,0.4,6.5,7.4,3.4,109.0,2.0,118.1,,,0.0,0.52,0.29
1626153,Delon Wright,NYK,77,185,33.0,3.1,0.44,0.445,0.3,1.7,1.9,0.6,106.1,0.9,106.3,31.0,11.16,0.03,0.35,0.03
1630166,Deni Avdija,POR,81,240,24.0,16.9,0.605,0.485,0.5,7.3,3.9,2.7,113.6,1.0,114.5,,,0.0,0.63,0.39
203471,Dennis Schröder,DET,73,175,31.0,13.1,0.531,0.482,0.2,2.6,5.4,1.9,111.8,0.9,112.8,34.0,11.09,0.11,0.69,0.23
1641726,Dereck Lively II,DAL,85,230,21.0,8.7,0.704,0.459,1.6,7.5,2.4,1.1,114.1,0.6,106.4,,,0.0,0.36,1.67
1627884,Derrick Jones Jr.,LAC,78,210,28.0,10.1,0.609,0.464,0.4,3.4,0.8,0.9,115.5,1.0,108.7,,,0.0,0.53,0.55
1628401,Derrick White,BOS,76,190,30.0,16.4,0.606,0.438,1.1,4.5,4.8,1.7,119.7,0.9,109.5,36.5,10.84,0.12,0.76,0.12
1630217,Desmond Bane,ORL,77,215,27.0,19.2,0.6,0.434,0.4,6.1,5.3,2.4,116.1,1.2,113.3,,,0.0,0.72,0.46
1626164,Devin Booker,PHX,78,206,28.0,25.6,0.589,0.493,0.2,4.1,7.1,2.9,115.3,0.9,118.5,34.5,10.27,0.03,0.84,0.52
1642269,Devin Carter,SAC,74,195,23.0,3.8,0.471,0.526,0.1,2.1,1.1,0.5,113.1,0.6,109.3,42.0,10.63,0.06,0.3,0.06
1630170,Devin Vassell,SAS,77,200,24.0,16.3,0.553,0.498,0.5,4.0,2.9,1.4,111.9,1.3,118.1,,,0.0,0.64,0.14
1628415,Dillon Brooks,HOU,78,225,29.0,14.0,0.555,0.468,0.2,3.7,1.7,1.0,113.5,0.8,108.8,37.5,11.14,0.05,0.28,0.61
1641794,Dillon Jones,OKC,77,235,23.0,2.5,0.464,0.422,0.1,2.2,1.1,0.5,108.9,0.3,102.9,33.5,11.08,0.0,0.26,0.32
1627734,Domantas Sabonis,SAC,82,240,29.0,19.1,0.655,0.499,0.4,13.9,6.0,2.9,116.5,0.7,113.9,,,0.0,0.7,2.99
1631230,Dominick Barlow,ATL,80,215,22.0,4.2,0.58,0.483,0.5,2.4,0.5,0.1,110.2,0.3,111.8,34.0,11.29,0.0,0.31,0.22
1642270,Donovan Clingan,POR,86,280,21.0,6.5,0.574,0.429,1.6,7.9,1.1,1.1,109.9,0.5,109.7,29.0,12.06,0.0,0.24,1.27
1628378,Donovan Mitchell,CLE,75,215,28.0,24.0,0.575,0.442,0.2,4.5,5.0,2.1,119.7,1.3,109.1,40.5,11.53,0.04,0.81,0.44
1628978,Donte DiVincenzo,MIN,76,203,28.0,11.7,0.582,0.467,0.3,3.7,3.6,1.6,114.2,1.2,109.1,42.0,10.72,0.03,0.58,0.24
1627827,Dorian Finney-Smith,LAL,79,220,32.0,8.7,0.604,0.448,0.4,3.9,1.4,0.9,119.1,0.9,110.3,35.5,11.01,0.02,0.44,0.78
203926,Doug McDermott,SAC,78,225,33.0,3.5,0.617,0.444,0.0,0.5,0.2,0.1,111.5,0.1,109.9,36.5,11.1,0.0,0.0,0.13
203110,Draymond Green,GSW,78,230,35.0,9.0,0.534,0.432,1.0,6.1,5.6,2.6,115.4,1.5,108.8,33.0,11.01,0.21,0.66,1.57
1629234,Drew Eubanks,LAC,82,245,28.0,4.6,0.622,0.449,0.6,3.7,0.9,0.7,106.7,0.2,114.8,,,0.02,0.16,0.71
1641809,Drew Peterson,BOS,81,205,25.0,2.2,0.601,0.339,0.1,1.6,0.5,0.3,115.7,0.2,102.9,,,0.0,0.16,0.37
1631166,Drew Timme,BKN,82,235,24.0,12.1,0.5,0.487,0.1,7.2,2.2,1.7,102.8,0.4,115.5,30.5,10.93,0.22,0.33,1.56
1630696,Dru Smith,MIA,74,203,27.0,6.2,0.656,0.437,0.4,2.6,1.6,1.2,107.3,1.5,100.5,,,0.29,0.71,0.21
1629130,Duncan Robinson,MIA,79,215,31.0,11.0,0.595,0.468,0.1,2.3,2.4,1.2,110.1,0.5,109.9,,,0.11,0.26,0.4
1641871,Duop Reath,POR,81,245,29.0,4.2,0.552,0.506,0.3,2.0,0.6,0.3,108.0,0.3,114.5,,,0.0,0.18,0.56
203939,Dwight Powell,DAL,82,240,33.0,2.1,0.713,0.49,0.4,2.1,1.0,0.3,108.6,0.3,109.7,35.0,11.28,0.06,0.21,0.65
1630700,Dyson Daniels,ATL,79,199,22.0,14.1,0.545,0.486,0.7,5.9,4.4,2.0,113.3,3.0,114.2,34.0,10.81,0.0,1.04,0.33
1630604,E.J. Liddell,CHI,78,240,24.0,1.8,0.661,0.538,0.1,0.8,0.3,0.2,117.9,0.1,126.4,38.0,11.11,0.0,0.13,0.25
203901,Elfrid Payton,NOP,75,195,31.0,3.5,0.34,0.41,0.5,3.3,6.9,2.5,99.7,1.0,113.1,35.5,11.06,0.0,0.17,0.26
1641989,Elijah Harkless,UTA,75,195,25.0,3.2,0.425,0.5,0.1,2.1,0.8,0.3,113.2,1.0,103.5,,,0.13,0.5,0.38
1641801,Emanuel Miller,CHI,79,215,25.0,1.7,0.563,0.5,0.0,1.3,0.3,0.0,120.4,0.2,130.4,,,0.0,0.0,0.33
1641734,Emoni Bates,CLE,80,202,21.0,3.7,0.487,0.391,0.1,0.7,0.8,0.2,89.0,0.1,110.5,32.5,11.54,0.0,0.17,0.33
1642402,Enrique Freeman,IND,79,220,24.0,2.1,0.507,0.463,0.1,1.4,0.4,0.3,104.4,0.1,110.7,35.0,10.99,0.0,0.11,0.5
201569,Eric Gordon,PHI,75,215,36.0,6.8,0.591,0.48,0.3,1.2,1.7,0.7,111.0,0.7,116.4,40.0,10.81,0.0,0.27,0.24
1630596,Evan Mobley,CLE,83,215,24.0,18.5,0.633,0.445,1.6,9.3,3.2,2.0,120.5,0.9,108.6,,,0.0,0.8,1.63
