name,team,pctile_min,pctile_ppg,pctile_fg2_pct,pctile_interior_def_fg_pct,pctile_blk,pctile_reb,pctile_ast_minus_tov,pctile_net_off_rating,pctile_fg3m,pctile_perimeter_def_fg_pct,pctile_net_def_rating,pctile_stl,pctile_avg_speed,pctile_loose_balls,pctile_charges,pctile_box_outs
AJ Green,MIL,59.7,31.2,26.5,31.6,7.3,16.3,53.5,50.4,80.3,55.2,93.6,18.4,82.5,41.1,83.7,59.9
AJ Johnson,WAS,10.1,32.1,16.3,12.1,7.3,9.7,66.9,0.3,31.7,93.7,100.0,9.5,85.5,38.4,24.0,0.9
Aaron Gordon,DEN,50.9,74.1,78.4,18.3,38.4,66.3,75.2,91.9,57.9,88.1,66.4,18.4,9.9,38.4,24.0,43.6
Aaron Holiday,HOU,18.9,15.1,26.5,86.1,22.4,2.5,40.1,18.3,45.2,97.6,92.7,3.5,22.1,19.6,58.1,25.5
Aaron Nesmith,IND,33.6,62.5,77.3,98.7,51.6,54.5,20.7,94.3,72.8,70.3,59.2,52.1,83.6,50.8,94.9,44.9
Aaron Wiggins,OKC,63.2,62.5,78.9,17.1,22.4,52.3,47.9,84.3,65.3,78.7,22.3,52.1,95.6,59.2,50.7,44.9
Adem Bona,PHI,23.5,16.3,97.7,76.9,93.9,57.2,0.4,26.8,3.5,31.2,75.1,9.5,62.7,9.7,24.0,79.2
Ajay Mitchell,OKC,7.2,22.5,61.9,69.7,7.3,8.7,53.5,4.3,24.8,99.5,91.9,40.9,93.6,18.4,86.0,13.3
Al Horford,BOS,59.5,42.5,62.5,65.3,86.3,82.5,65.5,71.9,73.3,58.0,62.7,29.5,8.3,21.6,24.0,88.0
Alec Burks,MIA,22.4,30.4,1.6,48.0,7.3,18.1,25.6,69.2,69.9,93.7,85.2,29.5,29.5,3.9,24.0,13.3
Alex Caruso,OKC,29.3,28.1,60.1,99.1,74.1,26.4,75.2,39.2,41.3,91.3,81.2,96.3,75.2,55.2,94.0,38.8
Alex Sarr,WAS,66.7,67.6,6.7,44.9,97.1,84.1,36.9,25.3,59.5,84.8,51.5,40.9,73.5,68.3,24.0,84.8
Alperen Sengun,HOU,90.9,85.5,39.9,70.9,83.5,97.2,81.9,82.8,13.9,50.5,69.3,80.7,7.9,93.6,88.1,98.8
Amen Thompson,HOU,85.1,71.2,80.5,94.8,94.9,92.4,74.0,68.5,15.5,91.3,62.1,92.4,58.4,91.6,73.2,37.5
Amir Coffey,LAC,63.7,48.8,34.8,24.1,7.3,12.5,25.6,7.5,54.7,31.2,13.7,29.5,9.9,18.4,73.2,33.5
Andre Drummond,PHI,15.2,30.4,37.6,2.9,64.7,90.3,0.9,5.9,9.1,7.5,20.9,73.9,12.4,43.6,24.0,88.5
Andre Jackson Jr.,MIL,27.5,2.7,60.1,66.9,22.4,21.7,16.3,17.6,17.9,10.9,41.6,18.4,100.0,30.7,24.0,21.9
Andrew Nembhard,IND,70.9,51.2,48.5,55.9,22.4,36.0,91.2,71.1,29.9,34.7,78.0,85.7,85.5,59.2,88.1,25.5
Andrew Wiggins,MIA,68.8,81.7,26.5,74.4,83.5,61.9,50.1,33.3,82.1,58.0,35.6,73.9,27.7,72.4,24.0,69.2
Anfernee Simons,POR,88.8,86.3,20.3,29.1,7.3,21.7,85.6,39.2,95.7,32.9,18.5,64.0,46.4,62.3,73.2,19.7
Anthony Black,ORL,71.5,46.5,18.3,5.3,74.1,26.4,65.5,29.6,30.1,90.3,60.7,80.7,19.5,55.2,66.7,33.5
Anthony Davis,DAL,61.6,96.1,58.1,96.0,99.3,98.4,64.3,52.9,25.9,38.4,97.1,85.7,2.4,96.4,73.2,95.5
Anthony Edwards,MIN,99.5,98.9,22.7,48.0,74.1,77.2,64.3,86.8,99.7,49.3,6.9,85.7,5.6,75.1,24.0,6.4
Antonio Reeves,NOP,11.2,26.5,38.0,23.2,7.3,3.7,14.8,34.0,44.8,22.8,56.9,18.4,67.5,33.1,24.0,11.3
Ausar Thompson,DET,44.3,52.1,69.5,92.4,79.7,71.3,47.9,45.2,10.7,86.1,70.1,97.5,73.5,94.9,58.1,7.2
Austin Reaves,LAL,94.1,87.1,56.5,15.1,38.4,61.9,92.0,96.7,91.7,69.3,20.9,80.7,22.1,87.7,99.2,51.2
Ayo Dosunmu,CHI,48.0,64.4,86.7,27.2,51.6,41.7,87.9,28.7,52.8,42.1,4.8,64.0,67.5,82.0,24.0,15.1
Bam Adebayo,MIA,97.1,82.1,34.4,11.3,79.7,95.2,80.3,45.2,37.6,51.6,42.4,89.7,7.2,85.5,24.0,99.7
Ben Sheppard,IND,38.9,13.6,70.9,67.9,22.4,23.9,53.5,21.3,41.7,67.1,27.2,29.5,98.1,50.8,24.0,13.3
Ben Simmons,LAC,33.1,11.9,40.3,20.5,64.7,64.5,93.5,16.9,3.5,49.3,33.6,40.9,8.7,35.6,86.0,44.9
Bennedict Mathurin,IND,81.9,76.8,33.3,8.9,38.4,73.2,5.2,48.5,53.3,62.9,44.5,40.9,52.9,82.0,24.0,57.3
Bilal Coulibaly,WAS,73.9,64.4,26.5,65.3,79.7,69.6,64.3,44.0,39.5,86.9,23.7,89.7,69.3,97.1,58.1,18.1
Bismack Biyombo,SAS,2.7,12.4,77.6,78.0,83.5,75.3,10.4,6.1,3.5,12.7,53.9,29.5,26.0,52.9,24.0,89.1
Blake Wesley,SAS,12.5,4.0,23.6,19.6,7.3,0.5,59.3,28.7,14.1,5.7,93.9,29.5,92.1,13.5,24.0,0.5
Bobby Portis Jr.,MIL,40.3,70.1,37.3,53.9,64.7,93.6,50.1,46.1,52.3,77.7,61.9,40.9,44.1,33.1,24.0,89.6
Bogdan Bogdanović,LAC,45.1,57.2,51.3,78.9,22.4,26.4,66.0,14.8,76.5,11.7,82.3,52.1,54.9,28.8,24.0,29.7
Bradley Beal,PHX,61.3,79.6,67.5,15.7,64.7,36.0,75.2,16.3,75.2,61.2,16.1,80.7,26.0,84.0,81.5,23.9
Brandin Podziemski,GSW,62.1,61.2,38.8,30.1,22.4,71.3,80.9,36.0,70.1,49.3,95.2,80.7,85.5,87.7,99.7,57.3
Brandon Boston Jr.,NOP,28.0,56.7,19.3,6.4,22.4,33.3,56.4,45.2,45.6,28.5,83.7,89.7,52.9,23.6,58.1,3.7
Brandon Clarke,MEM,37.6,35.9,95.2,96.0,74.1,71.3,20.7,59.6,6.9,49.3,82.3,52.1,88.9,45.9,78.1,85.3
Brandon Ingram,TOR,6.9,91.3,33.1,36.0,74.1,75.3,68.0,28.7,87.2,0.3,47.6,64.0,12.4,57.2,24.0,29.7
Brandon Miller,CHA,25.6,88.7,12.3,90.4,79.7,68.0,46.0,58.8,99.5,14.3,65.5,80.7,27.7,52.9,83.7,50.1
Brice Sensabaugh,UTA,50.4,57.6,44.0,19.6,7.3,29.3,5.2,62.0,83.5,25.2,30.4,29.5,22.1,38.4,50.7,29.7
Brook Lopez,MIL,93.3,67.6,93.1,72.9,98.7,69.6,36.9,73.9,68.3,42.1,17.1,29.5,4.0,6.0,24.0,96.5
Bruce Brown,NOP,25.3,35.9,7.1,31.1,22.4,54.5,53.5,11.3,25.6,10.9,37.6,52.1,31.3,33.1,24.0,47.9
Bub Carrington,WAS,92.8,49.2,20.8,25.2,38.4,57.2,85.1,25.9,64.0,31.2,12.9,40.9,76.9,52.9,58.1,29.7
Buddy Hield,GSW,69.6,59.3,36.9,42.9,38.4,33.3,25.6,50.4,89.1,44.9,30.4,52.1,96.4,35.6,24.0,16.7
CJ McCollum,NOP,67.5,89.2,22.4,8.3,51.6,49.3,80.3,91.5,95.5,74.8,19.2,52.1,78.5,77.5,73.2,38.8
Cade Cunningham,DET,92.5,97.9,39.2,84.5,83.5,81.3,98.7,86.8,80.5,32.9,23.7,73.9,50.4,89.1,66.7,66.7
Caleb Houstan,ORL,18.4,6.4,81.6,9.7,7.3,2.5,20.7,16.9,43.7,8.3,47.6,9.5,85.5,0.9,24.0,37.5
Caleb Martin,DAL,38.1,33.6,12.5,10.7,64.7,52.3,50.1,16.9,31.5,52.9,88.8,73.9,80.0,77.5,88.1,46.0
Cam Reddish,LAL,6.4,2.3,69.5,87.3,38.4,9.7,16.3,8.9,16.3,80.7,15.3,73.9,40.5,73.7,24.0,13.3
Cam Thomas,BKN,17.3,93.7,31.2,2.9,7.3,36.0,64.3,95.5,91.5,63.7,3.2,29.5,31.3,57.2,24.0,9.9
Cam Whitmore,HOU,20.0,46.5,32.3,44.9,38.4,29.3,8.7,40.1,51.5,84.8,16.1,29.5,12.4,52.9,24.0,8.5
Cameron Johnson,BKN,65.9,84.3,73.1,36.9,51.6,59.1,72.1,92.7,92.0,67.1,11.6,64.0,46.4,72.4,78.1,55.9
Cameron Payne,NYK,32.0,26.5,10.5,61.9,22.4,3.7,78.0,51.6,52.0,23.5,90.9,18.4,44.1,3.9,97.2,23.9
Caris LeVert,ATL,57.3,63.2,50.3,46.3,64.7,33.3,80.9,63.1,62.4,71.1,19.5,64.0,60.3,71.1,24.0,32.1
Cason Wallace,OKC,70.7,36.5,64.0,70.9,64.7,39.1,71.2,35.7,42.7,9.1,16.1,98.7,60.3,98.1,24.0,43.6
Chet Holmgren,OKC,22.7,74.9,48.0,100.0,99.3,91.2,12.5,80.5,53.6,9.6,46.9,40.9,38.4,66.9,24.0,83.7
Chris Boucher,TOR,21.9,51.2,90.1,43.9,64.7,61.9,8.7,89.3,55.2,53.9,38.8,18.4,58.4,16.8,81.5,58.0
Chris Paul,SAS,89.1,40.3,29.3,42.0,38.4,43.7,99.2,88.7,64.3,16.7,38.8,89.7,1.6,92.8,24.0,15.1
Christian Braun,DEN,97.3,76.3,93.6,74.4,64.7,72.4,71.2,99.7,43.1,1.3,24.5,80.7,62.7,78.9,78.1,38.8
Clint Capela,ATL,36.5,41.2,65.6,92.0,89.7,93.9,14.8,12.9,3.5,10.1,72.8,29.5,27.7,62.3,94.9,90.0
Coby White,CHI,92.0,87.7,60.1,6.8,22.4,46.3,79.2,52.3,93.6,38.4,15.3,64.0,31.3,72.4,73.2,8.5
Cody Martin,PHX,36.3,25.3,54.9,53.9,74.1,57.2,53.5,0.8,30.4,59.7,94.5,80.7,81.3,98.4,89.7,71.9
Cody Williams,UTA,30.9,10.5,3.3,48.8,38.4,14.3,16.3,5.2,27.2,3.5,44.5,18.4,92.8,7.2,24.0,11.3
Colby Jones,WAS,1.9,5.5,56.3,18.3,38.4,12.5,25.6,4.0,17.6,94.4,99.7,40.9,98.7,13.5,66.7,29.7
Cole Anthony,MEM,39.2,46.5,17.6,68.9,64.7,29.3,66.9,44.0,46.1,4.9,33.1,40.9,62.7,68.3,78.1,16.7
Collin Sexton,UTA,64.3,82.7,36.0,8.9,7.3,21.7,72.8,72.8,67.7,61.2,51.5,40.9,13.5,52.9,24.0,21.9
Corey Kispert,WAS,57.6,60.8,65.9,35.2,22.4,29.3,36.9,90.8,76.8,34.7,38.8,9.5,92.8,41.1,24.0,43.6
Cory Joseph,ORL,8.3,3.1,2.3,4.3,7.3,4.8,53.5,70.0,29.6,95.6,64.7,18.4,88.0,16.8,58.1,11.3
Craig Porter Jr.,CLE,1.6,4.0,58.9,65.3,38.4,2.5,36.9,0.5,17.1,17.5,22.8,3.5,70.7,11.7,24.0,1.9
D'Angelo Russell,BKN,52.0,66.0,26.5,31.6,51.6,23.9,90.5,88.1,75.7,53.9,75.1,73.9,27.7,16.8,58.1,23.9
DaQuan Jeffries,CHA,31.7,24.8,18.3,55.9,64.7,26.4,22.7,59.2,47.5,53.9,10.4,29.5,46.4,30.7,24.0,55.9
Dalano Banton,POR,33.3,35.9,4.8,51.2,64.7,9.7,57.3,51.1,39.7,91.3,60.7,29.5,54.9,4.9,58.1,16.7
Dalen Terry,CHI,27.7,9.3,16.5,95.2,22.4,6.9,32.1,2.9,19.5,88.1,72.3,29.5,98.4,23.6,50.7,18.1
Dalton Knecht,LAL,52.5,44.1,90.7,23.2,7.3,23.9,17.7,35.2,62.9,25.2,14.8,3.5,38.4,8.1,24.0,27.3
Damian Lillard,MIL,79.7,96.5,43.7,41.2,22.4,64.5,97.5,70.0,97.6,55.2,6.1,85.7,17.9,50.8,66.7,37.5
Daniel Gafford,DAL,38.7,64.4,98.7,99.5,98.4,85.7,12.5,79.5,3.5,15.2,45.1,9.5,62.7,66.9,58.1,92.0
Daniel Theis,NOP,8.8,8.1,76.9,63.1,64.7,59.1,50.1,61.1,12.5,62.1,71.7,18.4,22.1,55.2,86.0,88.8
Darius Garland,CLE,89.9,88.3,47.7,48.8,7.3,26.4,97.1,94.9,92.5,40.7,4.3,85.7,42.3,62.3,73.2,3.2
Davion Mitchell,MIA,76.8,33.6,52.3,29.1,22.4,14.3,90.9,76.3,45.2,31.2,76.8,73.9,50.4,66.9,93.3,35.7
Day'Ron Sharpe,BKN,24.3,33.6,72.3,80.9,83.5,84.9,25.6,75.7,11.7,92.1,97.6,52.1,50.4,41.1,58.1,94.7
De'Aaron Fox,SAS,86.4,92.8,48.3,8.9,51.6,66.3,92.8,55.5,73.9,20.7,20.1,94.4,42.3,80.3,58.1,21.9
